和名,学名 (大菌輪),別名 (目録2016),学名 (目録2016),科 (目録2016),属 (目録2016),Family (目録2016),Genus (目録2016),学名 (Mycobank),最新異名 (Mycobank)
アカイカタケ,Aseroë rubra,,Aseroe rubra Labill.,アカカゴタケ科,イカタケ属,Clathraceae,Aseroe,"Aseroë rubra Labill., Rélation du voyage à la recherche de la Perouse, fait par ordre de l'essemblée de constituante pendant les années 1791 et 1792: 145, t. 12:1-3 (1800) [MB#212925]","Aseroë rubra var. brasiliensis Ulbr., Notizbl. Bot. Gart. Mus. Berlin-Dahlem: 722 (1929) [MB#276976]<br />Aseroë poculiforma F.M. Bailey (1911) [MB#292942]

<br />Aseroë poculiformis F.M. Bailey, Queensland Agricultural Journal 27: 250 (1911) [MB#534465]

<br />Aseroë pallida Lloyd, Synopsis of the known phalloids: 47, t. 53a (1909) [MB#207538]

<br />Aseroë rubra var. muelleriana E. Fisch., Jahrb. K. Bot. Gart. Berlin: 88 (1886) [MB#137424]

<br />Aseroë lysuroides E. Fisch., Jahrb. K. Bot. Gard. Berlin: 89 (1886) [MB#207253]

<br />Aseroë corrugata Colenso, Transactions of the New Zealand Institute 16: 362 (1883) [MB#207489]

<br />Aseroë hookeri Berk., The botany of the Antarctic Voyage II, Flora Novae-Zealandiae 2: 187, t. 105:13 (1855) [MB#207179]

<br />Aseroë actinobola Corda, Icones fungorum hucusque cognitorum 6: 23, t. 4:14-18 (1854) [MB#204557]

<br />Aseroë multiradiata Zoll., Systematisches Verzeichnis der im indischen Archipel in den Jahren 1842-1848 gesammelten sowie aus Japan empfangenen Pflanzen: 11 (1854) [MB#207475]

<br />Lysurus aseroëformis Corda, Icones fungorum hucusque cognitorum 6: 22, t. 4:3-8 (1854) [MB#226025]

<br />Aseroë junghuhnii Schltdl., De Aseroës genere dissertatio: 13 (1847) [MB#207557]

<br />Aseroë zeylanica Berk., London Journal of Botany 5: 535 (1846) [MB#203001]

<br />Aseroë viridis Berk. & Hook. f., London Journal of Botany 3: 192 (1844) [MB#202963]

<br />Aseroë pentactina Endl., Iconogr. Gen. Pl.: pl. 1 (1837) [MB#207217]

"

アカイボカサタケ,Entoloma quadratum,,Entoloma quadratum (Berk. & M.A. Curtis) E. Horak,イッポンシメジ科,イッポンシメジ属,Entolomataceae,Entoloma,"Entoloma quadratum (Berk. & M.A. Curtis) E. Horak, Sydowia 28 (1-6): 190 (1976) [MB#313803]","Inocephalus quadratus (Berk. & M.A. Curtis) T.J. Baroni, Brittonia 52: 133 (2000) [MB#474409]<br />Nolanea quadrata (Berk. & M.A. Curtis) Sacc., Sylloge Fungorum 5: 723 (1887) [MB#166921]

<br />Agaricus quadratus Berk. & M.A. Curtis, Annals and Magazine of Natural History 4: 290 (1859) [MB#507029]

"

アカイリマメムラサキホコリ,Stemonitis pallida,,,,,,,"Stemonitis pallida Wingate, The North American slime-moulds: 123 (1899) [MB#216499]",

アカウスバタケ,Steccherinum laeticolor,,Steccherinum laeticolor (Berk. & M.A. Curtis) Banker,シワタケ科,ニクハリタケ属,Meruliaceae,Steccherinum,"Steccherinum laeticolor (Berk. & M.A. Curtis) Banker, Mycologia 4 (6): 316 (1912) [MB#440453]","Irpex laeticolor (Berk. & M.A. Curtis) Kotir. & Saaren., Polish Botanical Journal 47 (2): 105 (2002) [MB#489753]

<br />Mycoleptodon laeticolor (Berk. & M.A. Curtis) Pat., Essai taxonomique sur les familles et les genres des Hyménomycètes: 117 (1900) [MB#124041]

<br />Hydnum laeticolor Berk. & M.A. Curtis, Grevillea 1 (7): 99 (1873) [MB#224934]

<br />Hydnum parasitans Berk. & M.A. Curtis, Grevillea 1 (7): 100 (1873) [MB#230263]"

アカウラヤイトゴケ,Solorina crocea,,,,,,,"Solorina crocea (L.) Ach., Kongliga Vetenskaps Academiens Nya Handlingar 29: 228 (1808) [MB#405270]","Parmelia crocea (L.) Spreng., Caroli Linnaei systema vegetabilium 4 (1): 280 (1827) [MB#214485]<br />Arthonia crocea (L.) Ach., Neues Journal für die Botanik 1: 20 (1806) [MB#376435]

<br />Peltidea crocea (L.) Ach., Methodus qua Omnes Detectos Lichenes Secundum Organa Carpomorpha ad Genera, Species et Varietates Redigere atque Observationibus Illustrare Tentavit Erik Acharius: 290 (1803) [MB#399247]

<br />Peltigera crocea (L.) Hoffm., Descriptio et Adumbratio plantarum e classe cryptogamica Linnaei, quae Lichenes dicuntur 2: 60 (1794) [MB#399297]

<br />Lichen croceus L., Species Plantarum: 1149 (1753) [MB#393920]

"

アカウロコタケ,Hymenochaete mougeotii,"アカオオウロコタケ，
オオアカウロコタケ",Hymenochaete cruenta (Pers.) Donk = Hymenochaete mougeotii (Fr.) Cooke,タバコウロコタケ科,タバコウロコタケ属,Hymenochaetaceae,Hymenochaete,Hymenochaete mougeotii (Fr.) Cooke: 147 (1880) [MB#586396],"Hymenochaete sphaeriaecola Lloyd, Mycological Writings 7 (74): 1338 (1925) [MB#278538]<br />Corticium nesporii Velen. (1922) [MB#473214]

<br />Corticium nespori Velen., Ceske Houby 4-5: 757 (1922) [MB#534645]

<br />Merulius mougeotii (Fr.) Pat., Revue Mycologique Toulouse 12: 133 (1890) [MB#469898]

<br />Hymenochaete mougeotii (Fr.) Massee, Botanical Journal of the Linnean Society 27: 111 (1890) [MB#218666]

<br />Stereum mougeotii (Fr.) Quél., Flore mycologique de la France et des pays limitrophes: 16 (1888) [MB#440470]

<br />Hymenochaete mougeotii (Fr.) Cooke: 147 (1880) [MB#586396]

<br />Corticium mougeotii (Fr.) Fr., Epicrisis Systematis Mycologici: 558 (1838) [MB#236714]

<br />Thelephora mougeotii Fr., Elenchus Fungorum 1: 188 (1828) [MB#230753]

"

アカエガマノホタケ,Typhula phacorrhiza,アカエガマホタケ,Typhula phacorrhiza (Reichardt) Fr.,ガマノホタケ科,ガマノホタケ属,Typhulaceae,Typhula,"Typhula phacorrhiza (Reichard) Fr., Observationes mycologicae 2: 298 (1818) [MB#158431]","Sclerotium scutellatum Alb. & Schwein., Conspectus Fungorum in Lusatiae superioris: 74, t. 3:6 (1805) [MB#232732]<br />Clavaria phacorrhiza Reichard, Schr. berlin. Ges. naturf. Fr.: 315, t. 9:4-5 (1780) [MB#246020]

<br />Clavaria phacorihiza Reichard (1780) [MB#491921]

"

アカエノズキンタケ,Leotia stipitata,,Leotia stipitata (Bosc.) J. Schröt.,ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,"Leotia stipitata (Bosc) J. Schröt., Die Natürlichen Pflanzenfamilien: 166 (1894) [MB#307470]","Tremella stipitata Bosc, Magazin der Gesellschaft Naturforschenden Freunde Berlin 5: 89, t. 6:3 (1811) [MB#199107]"

アカオクバタケ,Hyphodontia quercina,,Hyphodontia quercina (Pers.) J. Erikss.,アナタケ科,ウスカワタケ属,Schizoporaceae,Hyphodontia,"Hyphodontia quercina (Pers.) J. Erikss., Symbolae Botanicae Upsalienses 16 (1): 105 (1958) [MB#298799]","Grandinia quercina (Pers.) Jülich, International Journal of Mycology and Lichenology 1 (1): 36 (1982) [MB#109800]

<br />Kneiffiella quercina (Pers.) Jülich & Stalpers, Verhandelingen Koninklijke Nederlandse Akademie van Wetenschappen Afdeling Natuurkunde 74: 134 (1980) [MB#111588]

<br />Basidioradulum quercinum (Pers.) H. Furuk., Bulletin of the Government Forest Experimental Station Meguro 261: 60 (1974) [MB#309460]

<br />Radulum orbiculare subsp. quercinum (Pers.) P. Karst., Kritisk Öfversigt af Finlands Basidsvampar 3 (11): 22 (1898) [MB#440402]

<br />Radulum quercinum (Pers.) Fr., Epicrisis Systematis Mycologici: 525 (1838) [MB#449559]

<br />Hydnum farreum Pers., Mycologia Europaea 2: 181 (1825) [MB#147310]<br />Hydnum quercinum (Pers.) Fr., Systema Mycologicum 1: 423 (1821) [MB#232691]

<br />Xylodon quercinum (Pers.) Gray, A natural arrangement of British plants 1: 649 (1821) [MB#432189]

<br />Xylodon quercinus (Pers.) Gray, A natural arrangement of British plants 1: 649 (1821) [MB#505180]

<br />Sistotrema quercinum (Pers.) Pers., Synopsis methodica fungorum: 552 (1801) [MB#215084]

<br />Odontia quercina Pers., Observationes mycologicae 2: 17 (1799) [MB#440240]

<br />Hydnum candidum Willd., Botanisches Magazin (Römer & Usteri) 2 (4): 14, t. 7 (1788) [MB#473847]

"

アカカキシメジ,Tricholoma ustaloides</i> var. <i>aurantioides,,Tricholoma ustaloides Romagn. var. aurantioides A. Marchand,キシメジ科,キシメジ属,Tricholomataceae,Tricholoma,,

アカカゴタケ,Clathrus ruber,,Clathrus ruber P. Micheli ex Pers.,アカカゴタケ科,アカカゴタケ属,Clathraceae,Clathrus,"Clathrus ruber P. Micheli ex Pers., Synopsis methodica fungorum: 241 (1801) [MB#232782]","Clathrus cancellatus Tourn. ex Fr., Systema Mycologicum 2: 288 (1823) [MB#229487]<br />Clathrus flavescens Pers., Synopsis methodica fungorum: 242 (1801) [MB#233176]

"

アカカバイロタケ,Russula compacta,,Russula compacta Frost,ベニタケ科,ベニタケ属,Russulaceae,Russula,"Russula compacta Frost, Annual Report on the New York State Museum of Natural History 32: 32 (1879) [MB#181887]",

アカカミノケホコリ,Comatricha pulchella,,,,,,,"Comatricha pulchella (C. Bab.) Rostaf., Sluzowce Monografia, Appendix: 27 (1876) [MB#205427]","Comatricha persoonii var. pulchella (C. Bab.) Torrend, Brotéria Série Botânica 7: 77 (1908) [MB#416627]<br />Stemonitis pulchella C. Bab., Proceedings of the Linnean Society, London: 32 (1839) [MB#222563]

"

アカキクラゲ,Dacrymyces aurantiacus,,Dacrymyces aurantiacus Henn. ( indistinct species ),アカキクラゲ科,アカキクラゲ属,Dacrymycetaceae,Dacrymyces,"Dacrymyces aurantiacus Henn., Botanische Jahrbücher für Systematik Pflanzengeschichte und Pflanzengeographie 28: 319 (1900) [MB#240546]",

アカキツネガサ,Leucoagaricus rubrotinctus,,Leucoagaricus rubrotinctus (Beeli) Sing.,ハラタケ科,シロカラカサタケ属,Agaricaceae,Leucoagaricus,"Leucoagaricus rubrotinctus (Peck) Singer, Sydowia 2 (1-6): 36 (1948) [MB#287717]","Lepiota rubrotincta Peck, Annual Report on the New York State Museum of Natural History 44: 179 (1891) [MB#454251]<br />Agaricus rubrotinctus Peck, Annual Report on the New York State Museum of Natural History 35: 155 (1884) [MB#522117]

"

アカギニクイボゴケ,Ochrolechia akagiensis,,,,,,,"Ochrolechia akagiensis Yasuda, Botanical Magazine Tokyo 35: 54 (1921) [MB#396109]",

アカギンコウヤクタケ,Radulomyces confluens,アカギンタケ,Radulomyces confluens (Fr.) M.P. Christ.,フサタケ科,アカギンコウヤクタケ属,Pterulaceae,Radulomyces,"Radulomyces confluens (Fr.) M.P. Christ., Dansk botanisk Arkiv 19 (2): 231 (1960) [MB#338148]","Cerocorticium confluens (Fr.) Jülich & Stalpers, Verhandelingen Koninklijke Nederlandse Akademie van Wetenschappen Afdeling Natuurkunde 74: 73 (1980) [MB#111205]

<br />Grandinia schweinitzii Bres., Stud. Trent. 7 (1): 59 (1926) [MB#277649]<br />Coniophora avellanea Burt, Annals of the Missouri Botanical Garden 4: 251 (1917) [MB#143849]

<br />Corticium albidum Boud., Iconogr. Mycol.: t. 173 (1906) [MB#180845]

<br />Corticium tephroleucum Bres., Verhandlungen der Zoologisch-Botanischen Gesellschaft Wien 52: 430 (1902) [MB#201791]

<br />Corticium gilvescens Bres., Hedwigia: 61 (1896) [MB#185892]

<br />Terana confluens (Fr.) Kuntze, Revisio generum plantarum 2: 872 (1891) [MB#440521]

<br />Terana cremicolor (Berk. & M.A. Curtis) Kuntze (1891) [MB#440524]

<br />Corticium laeve subsp. padineum (P. Karst.) P. Karst. (1889) [MB#439789]

<br />Xerocarpus laevissimus P. Karst., Meddelanden af Societas pro Fauna et Flora Fennica 9: 111 (1883) [MB#472084]

<br />Corticium confluens subsp. caesioalbum P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 37: 149 (1882) [MB#137090]

<br />Corticium confluens subsp. padineum P. Karst. (1882) [MB#439764]

<br />Corticium confluens subsp. padinum P. Karst., Bidrag till Kännedom av Finlands Natur och Folk 37: 149 (1882) [MB#536803]

<br />Corticium cremoricolor Berk. & M.A. Curtis, Grevillea 1 (12): 180 (1873) [MB#247902]

<br />Hypochnus confluens (Fr.) Bonord., Handbuch der allgemeinen Mykologie: 159 (1851) [MB#202195]

<br />Corticium confluens (Fr.) Fr., Epicrisis Systematis Mycologici: 564 (1838) [MB#207207]

<br />Thelephora confluens Fr., Observationes mycologicae 1: 152 (1815) [MB#208337]

"

アカゲシメジ,Tricholoma imbricatum,アカゲシメヂ,Tricholoma imbricatum (Fr. ) Kumm.,キシメジ科,キシメジ属,Tricholomataceae,Tricholoma,"Tricholoma imbricatum (Fr.) P. Kumm., Der Führer in die Pilzkunde: 133 (1871) [MB#226648]","Cortinellus imbricatus (Fr.) Raithelh., Metrodiana: 4 (1970) [MB#283413]

<br />Tricholoma subimbricatum Velen., Ceske Houby 2: 229 (1920) [MB#279245]<br />Gyrophila imbricata (Fr.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 12 (1886) [MB#490139]

<br />Agaricus vaccinus subsp. imbricatus (Fr.) Pers., Mycologia Europaea 3: 184 (1828) [MB#497581]

<br />Agaricus imbricatus Fr., Observationes mycologicae 1: 27 (1815) [MB#446141]

"

アカゲヒダハタケ,Paxillus rubicundulus,,Paxillus rubicundulus P.D. Orton,ヒダハタケ科,ヒダハタケ属,Paxillaceae,Paxillus,"Paxillus rubicundulus P.D. Orton, Notes from the Royal Botanical Garden Edinburgh 29 (1): 110 (1969) [MB#335673]",

アカゲフウセンタケ,Cortinarius spilomeus,サビチャムラサキフウセンタケ,Cortinarius spilomeus (Fr.) Fr.,フウセンタケ科,フウセンタケ属,Cortinariaceae,Cortinarius,"Cortinarius spilomeus (Fr.) Fr., Epicrisis Systematis Mycologici: 287 (1838) [MB#171608]","Cortinarius anomalus var. spilomaeus (Fr.) Maire, Fungi Catalaunici: Contributions à l'étude de la Flore Mycologique de la Catalogne: 105 (1933) [MB#256955]<br />Agaricus spilomeus Fr., Observationes mycologicae 2: 83 (1818) [MB#142525]

<br />Agaricus araneosus Sowerby, Coloured Figures of English Fungi 3: 165, t. 384:1 (1803) [MB#490097]

"

アカコウヤクタケ,Aleurodiscus amorphus,,Aleurodiscus amorphus Rabenh.,ウロコタケ科,アカコウヤクタケ属,Stereaceae,Aleurodiscus,"Aleurodiscus amorphus (Pers.) J. Schröt., Kryptogamen-Flora von Schlesien 3-1(4): 429 (1888) [MB#150793]","Terana amorpha (Pers.) Kuntze, Revisio generum plantarum 2: 872 (1891) [MB#440489]

<br />Cyphella amorpha (Pers.) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 215 (1886) [MB#193077]

<br />Lachnea amorpha (Pers.) Gillet, Champignons de France. Les Discomycètes 4: 89 (1881) [MB#440055]

<br />Nodularia balsamicola Peck, Annual Report on the New York State Museum of Natural History 24: 96 (1872) [MB#239747]<br />Stereum amorphum (Pers.) Fuckel, Jahrbücher des Nassauischen Vereins für Naturkunde 15: 102 (1860) [MB#440456]

<br />Corticium amorphum (Pers.) Fr., Epicrisis Systematis Mycologici: 599 (1838) [MB#186543]

<br />Thelephora amorpha (Pers.) Fr., Elenchus Fungorum 1: 183 (1828) [MB#440674]

<br />Peziza amorpha Pers., Synopsis methodica fungorum: 657 (1801) [MB#248453]

"

アカコウヤクタケモドキ,Aleurodiscus grantii,,Aleurodiscus grantii Lloyd ,ウロコタケ科,アカコウヤクタケ属,Stereaceae,Aleurodiscus,"Aleurodiscus grantii Lloyd, Mycological Writings 6 (62): 927 (1920) [MB#266451]",

アカコブアザタケ,Hypoxylon rubiginosum,,Hypoxylon rubiginosum (Pers.) Fr.,クロサイワイタケ科,アカコブタケ属,Xylariaceae,Hypoxylon,"Hypoxylon rubiginosum (Pers.) Fr., Summa vegetabilium Scandinaviae 2: 384 (1849) [MB#213808]","Euhypoxylon rubiginosum (Pers.) Füisting, Botanische Zeitung 25 (39): 305, 309 (1867) [MB#413064]<br />Stromatosphaeria rubiginosa (Pers.) Grev., Flora Edinensis: pl. 110 (1824) [MB#479467]

<br />Sphaeria rubiginosa Pers., Synopsis methodica fungorum: 11 (1801) [MB#189554]

"

アカコメバタケ,Phanerochaete magnoliae,,Phanerochaete magnoliae (Berk. & M.A. Curtis) Burds.,マクカワタケ科,マクカワタケ属,Phanerochaetaceae,Phanerochaete,"Phanerochaete magnoliae (Berk. & M.A. Curtis) Burds., Mycologia Memoirs 10: 95 (1985) [MB#103671]","Phanerodontia magnoliae (Berk. & M.A. Curtis) Hjortstam & Ryvarden, Synopsis Fungorum 27: 29 (2010) [MB#517286]

<br />Grandiniella magnoliae (Berk. & M.A. Curtis) Zmitr. & Spirin, Mycena 6: 37 (2006) [MB#504954]

<br />Phanerochaete aculeata Hallenb., Iranian Journal of Plant Pathology 14: 62 (1979) [MB#319699]<br />Odontia rufobrunnea H. Furuk., Bulletin of the Government Forest Experimental Station Meguro 261: 27 (1974) [MB#318912]

<br />Radulum magnoliae Berk. & M.A. Curtis, Hooker's Journal of Botany and Kew Garden Miscellany 1: 236 (1849) [MB#177389]

"

アカサビクロチャワンタケ,Plectania melastoma,,,,,,,"Plectania melastoma (Sowerby) Fuckel, Jahrbücher des Nassauischen Vereins für Naturkunde 23-24: 323 (1870) [MB#235417]","Bulgaria melastoma (Sowerby) Seaver, The North American Cup-Fungi (Operculates) (3): 197 (1928) [MB#270828]<br />Urnula melastoma (Sowerby) Boud., Histoire et Classification des Discomycètes d'Europe: 55 (1907) [MB#433972]

<br />Scutellinia melastoma (Sowerby) Kuntze, Revisio generum plantarum 3 (2): 520 (1898) [MB#825303]

<br />Sarcoscypha melastoma (Sowerby) Rehm (1895) [MB#453688]

<br />Scypharia melastoma (Sowerby) Quél., Enchiridion Fungorum in Europa media et praesertim in Gallia Vigentium: 283 (1886) [MB#582399]

<br />Rhizopodella melastoma (Sowerby) Cooke: 260 (1879) [MB#582353]

<br />Calycina melastoma (Sowerby) Gray, A natural arrangement of British plants 1: 670 (1821) [MB#462797]

<br />Peziza melastoma Sowerby, Coloured Figures of English Fungi 2: 64, t. 149 (1799) [MB#220055]

"

アカサビゴケ,Xanthoria mandschurica,,,,,,,"Xanthoria mandschurica (Zahlbr.) Asahina, Journal of Japanese Botany 29: 290 (1954) [MB#535023]","Zeroviella mandschurica (Zahlbr.) S.Y. Kondr. & Hur, Ukrainian Botanical Journal 72 (6): 582 (2015) [MB#814868]<br />Rusavskia mandschurica (Zahlbr.) S.Y. Kondr. & Kärnefelt, Ukrainskiy Botanichnyi Zhurnal 60 (4): 434 (2003) [MB#530016]

<br />Xanthoria mandshurica (Zahlbr.) Asahina (1954) [MB#120852]

<br />Xanthoria parietina var. mandschurica Zahlbr., Annales Mycologici 29: 85 (1931) [MB#416171]

"

アカサルオガセ,Usnea rubescens,,,,,,,"Usnea rubescens Stirt., Scottish Naturalist: 76 (1883) [MB#408490]",

アカショウロ,Rhizopogon succosus,,Rhizopogon succosus A.H. Sm.,ショウロ科,ショウロ属,Rhizopogonaceae,Rhizopogon,"Rhizopogon succosus A.H. Sm., Memoirs of the New York Botanical Garden 14 (2): 89 (1966) [MB#338493]",

アカジコウ,Boletus speciosus,アケボノヤマドリタケ,Butyriboletus speciosus (Frost) (ined.) = Boletus speciosus Frost,イグチ科,ミヤマアミアシイグチ属,Boletaceae,Butyriboletus,"Boletus speciosus Frost, Bulletin of the Buffalo Society of Natural Sciences 2: 101 (1874) [MB#196130]","Ceriomyces speciosus (Frost) Murrill, Mycologia 1 (4): 151 (1909) [MB#468538]<br />Suillus speciosus (Frost) Kuntze: 536 (1898) [MB#586308]

"

アカズキンタケ,Leotia rutilans,,Leotia rutilans (S. Imai & Minakata) S. Imai,ズキンタケ科,ズキンタケ属,Leotiaceae,Leotia,"Leotia rutilans (S. Imai & Minakata) S. Imai, Journal of the Faculty of Agriculture of the Hokkaido Imperial University 45 (4): 246 (1941) [MB#287573]","Cudoniella rutilans S. Imai & Minakata, Trans. Sapporo Nat. Hist. Soc.: 181 (1934) [MB#277155]"

アカセンニンゴケ,Baeomyces rufus,,,,,,,"Baeomyces rufus (Huds.) Rebent., Prodromus Flora Neomarchicae: 315 (1804) [MB#378626]","Lichen rufus Huds., Flora anglica: 443 (1762) [MB#394441]"

アカゾメキクバゴケ,Xanthoparmelia orientalis,,,,,,,"Xanthoparmelia orientalis Kurok., Journal of Japanese Botany 64 (6): 169 (1989) [MB#135953]",

アカゾメタケ,Hapalopilus nidulans,,Hapalopilus nidulans (Fr.) P. Karst. ,シワタケ科,アカゾメタケ属,Meruliaceae,Hapalopilus,"Hapalopilus nidulans (Fr.) P. Karst., Revue Mycologique Toulouse 3 (9): 18 (1881) [MB#414438]","Agaricus nidulans (Fr.) E.H.L. Krause, Basidiomycetum Rostochiensium Suppl. 5: 163 (1933) [MB#473696]

<br />Polyporus conicus Velen., Ceske Houby 4-5: 683 (1922) [MB#261733]

<br />Polyporus ramicola Velen., Ceske Houby 4-5: 647 (1922) [MB#276076]<br />Phaeolus nidulans (Fr.) Pat., Essai taxonomique sur les familles et les genres des Hyménomycètes: 86 (1900) [MB#470433]

<br />Polystictus nidulans (Fr.) Gillot & Lucand, Bull. Soc. Hist. nat. Autun: 173 (1890) [MB#449536]

<br />Fomes variegatus (Sowerby) Cooke, Grevillea 14 (69): 21 (1885) [MB#462610]

<br />Inonotus nidulans (Fr.) P. Karst., Acta Societatis pro Fauna et Flora Fennica 2 (1): 32 (1881) [MB#469603]

<br />Trametes ribicola P. Karst., Hedwigia 20 (12): 178 (1881) [MB#471930]

<br />Polyporus purpurascens Stahlschmidt, Liebigs Ann. Chem.: 179 (1877) [MB#473762]

<br />Trametes lignicola Lasch, Klotzschii Herb. mycol. no 1809: no. 1809 (1854) [MB#184914]

<br />Polyporus variegatus (Sowerby) Secr., Mycographie Suisse, ou Description des Champignons, qui Croissent en Suisse, Particulièrment dans le Canton de Vaud, aux Environs de Lausanne 3: 99 (1833) [MB#462611]

<br />Polyporus pallidocervinus Schwein., Transactions of the American Philosophical Society 4 (2): 156 (1832) [MB#207030]

<br />Boletus nidulans (Fr.) Spreng., Caroli Linnaei systema vegetabilium 4 (1) (1827) [MB#468305]

<br />Polyporus nidulans Fr., Systema Mycologicum 1: 362 (1821) [MB#224321]

<br />Boletus variegatus Sowerby, Coloured Figures of English Fungi 3: 150, f. 368 (1803) [MB#462758]

<br />Boletus rutilans Pers., Icones et Descriptiones Fungorum Minus Cognitorum 1: 19, t. 6:3 (1798) [MB#201896]

<br />Boletus suberosus Bull., Herbier de la France 11: t. 482 (1791) [MB#216271]

<br />Boletus versicolor Schaeff., Fungorum qui in Bavaria et Palatinatu circa Ratisbonam nascuntur Icones 4: 88 (1774) [MB#490661]

"
